stop_id,stop_name,stop_lat,stop_lon
mxa_T07C01_STP_127,Avenida Munguia,20.72053,-103.36107
mxa_T07C01_STP_129,Calle Aldama,20.72307,-103.36363
mxa_T07C01_STP_13,Curtidores,20.75214,-103.36275
mxa_T07C01_STP_130,Calzada Constituyentes,20.72486,-103.36612
mxa_T07C01_STP_131,Calzada Constituyentes,20.72696,-103.36761
mxa_T07C01_STP_133,Avenida Manuel M. Dieguez,20.73064,-103.36736
mxa_T07C01_STP_135,Avenida Obreros de Cananea,20.73005,-103.36341
mxa_T07C01_STP_14,Calle Francisco I. Madero,20.75034,-103.36345
mxa_T07C01_STP_140,Avenida de los Tabachines,20.73924,-103.36227
mxa_T07C01_STP_141,Avenida de los Tabachines,20.74062,-103.36447
mxa_T07C01_STP_142,Calle Paseo de las Araucarias,20.74152,-103.36471
mxa_T07C01_STP_143,Calle Paseo de las Araucarias,20.74321,-103.36447
mxa_T07C01_STP_144,Calle Pipila,20.74667,-103.36491
mxa_T07C01_STP_145,Calle Francisco I. Madero,20.74851,-103.36405
mxa_T07C01_STP_147,Calle Francisco I. Madero,20.75185,-103.36274
mxa_T07C01_STP_148,Calle Carpinteros,20.7528,-103.36237
mxa_T07C01_STP_149,Tabachines,20.75329,-103.36289
mxa_T07C01_STP_150,Tabachines,20.75373,-103.36411
mxa_T07C01_STP_151,Piscadores,20.75663,-103.36604
mxa_T07C01_STP_152,Calle Calzada del Vergel,20.75704,-103.36747
mxa_T07C01_STP_153,Calle Calzada del Vergel,20.758,-103.36742
mxa_T07C01_STP_154,Crisantemos,20.7611,-103.36677
mxa_T07C01_STP_155,Eucalipto,20.76339,-103.36669
mxa_T07C01_STP_156,Eucalipto,20.76314,-103.3644
mxa_T07C01_STP_157,Eucalipto,20.76315,-103.36338
mxa_T07C01_STP_16,Calle Iturbide,20.74582,-103.36553
mxa_T07C01_STP_17,Rizo Ayala,20.74431,-103.36382
mxa_T07C01_STP_18,Calle Paseo de las Araucarias,20.74359,-103.36438
mxa_T07C01_STP_19,Paseo de Los Colorines,20.74177,-103.36488
